ABIE/BBIE/ASBIE	Dictionary Entry Name	Definition	Occurrence Min	Occurrence Max
BBIE	Referenced_ Document. Reference_ Type. Code	The code specifying the reference type of this referenced document.	0	1
BBIE	Referenced_ Document. Section Name. Text	A section name, expressed as text, for this referenced document.	0	unbounded
BBIE	Referenced_ Document. Previous Revision_ Identification. Identifier	An identifier for a previous revision of this referenced document.	0	unbounded
BBIE	Referenced_ Document. Formatted_ Issue. Date Time	The formatted date or date time for the issuance of this referenced document.	0	1
ASBIE	Referenced_ Document. Effective. Specified_ Period	The specified period within which this referenced document is effective.	0	1
ASBIE	Referenced_ Document. Issuer. Trade_ Party	The trade related party that issues this referenced document.	0	1
ASBIE	Referenced_ Document. Attached. Specified_ Binary File	A specified binary file attached to this referenced document.	0	unbounded
ABIE	Referenced_ Product. Details	A reference to a product or service produced by human or mechanical effort or by a natural process for trading purposes.		
BBIE	Referenced_ Product. Identification. Identifier	A unique identifier for this referenced product.	0	unbounded
BBIE	Referenced_ Product. Global_ Identification. Identifier	A unique global identifier for this referenced product.	0	unbounded
BBIE	Referenced_ Product. Seller Assigned_ Identification. Identifier	The unique seller assigned identifier for this referenced product.	0	1
BBIE	Referenced_ Product. Buyer Assigned_ Identification. Identifier	The unique buyer assigned identifier for this referenced product.	0	1
BBIE	Referenced_ Product. Manufacturer Assigned_ Identification. Identifier	A unique manufacturer assigned identifier for this referenced product.	0	unbounded
BBIE	Referenced_ Product. Industry Assigned_ Identification. Identifier	A unique industry assigned identifier for this referenced product.	0	unbounded
BBIE	Referenced_ Product. Name. Text	A name, expressed as text, for this referenced product.	0	unbounded
BBIE	Referenced_ Product. Description. Text	A textual description for this referenced product.	0	unbounded
BBIE	Referenced_ Product. Relationship_ Type. Code	A code specifying a type of relationship for this referenced product.	0	unbounded
BBIE	Referenced_ Product. Unit. Quantity	A unit quantity of this referenced product.	0	unbounded
ABIE	Referenced_ Standard. Details	A referenced norm or requirement that establishes uniform criteria, methods, processes and practices, such as in engineering or technical areas.		
BBIE	Referenced_ Standard. Identification. Identifier	The identifier of this referenced standard.	0	1
BBIE	Referenced_ Standard. Version. Identifier	The identifier of the version of this referenced standard.	0	1
BBIE	Referenced_ Standard. Element Version. Identifier	The identifier of the version of a specific element within the referenced standard, such as the version of a data element.	0	1
BBIE	Referenced_ Standard. URI. Identifier	The Uniform Resource Identifier (URI) for this referenced standard.	0	1
BBIE	Referenced_ Standard. Part_ Identification. Identifier	The identifier of a part of this referenced standard, such as a section or topic.	0	1
BBIE	Referenced_ Standard. Agency. Identifier	The identifier of the agency for this referenced standard.	0	1
ABIE	Reference_ Price. Details	A reference to a sum of money for which something is or may be bought or sold.		
BBIE	Reference_ Price. Charge. Amount	The monetary value of a charged reference price.	0	1
BBIE	Reference_ Price. Basis. Quantity	A quantity on which the reference price is based.	0	unbounded
BBIE	Reference_ Price. Net Price. Indicator	An indication of whether or not the reference price is a net price.	0	unbounded
BBIE	Reference_ Price. Comparison Method. Code	The code specifying the comparison method for this reference price.	0	1
ABIE	Registered_ Tax. Details	A registered tax or duty system pertaining to an authority.		
BBIE	Registered_ Tax. Type. Code	The code specifying the type of registered tax.	0	1
BBIE	Registered_ Tax. Exemption Reason. Code	The code specifying the exemption reason for this registered tax.	0	1
BBIE	Registered_ Tax. Exemption Reason. Text	A reason, expressed as text, for exemption from this registered tax.	0	unbounded
BBIE	Registered_ Tax. Currency. Code	The code specifying the currency for this registered tax.	0	1
BBIE	Registered_ Tax. Jurisdiction. Text	A jurisdiction, expressed as text, for this registered tax.	0	unbounded
BBIE	Registered_ Tax. Description. Text	A textual description of this registered tax.	0	unbounded
BBIE	Registered_ Tax. Customs Duty. Indicator	The indication of whether or not this registered tax is a customs duty.	0	1
ABIE	Returnable Asset_ Instructions. Details	The procedures to follow for returnable assets, such as reusable packaging (pallets, crates).		
BBIE	Returnable Asset_ Instructions. Material. Identifier	An identifier of the material to which these returnable asset instructions apply.	0	unbounded
BBIE	Returnable Asset_ Instructions. Terms And Conditions_ Description. Text	A textual description of the terms and conditions for these returnable asset instructions.	0	unbounded
BBIE	Returnable Asset_ Instructions. Terms And Conditions_ Description. Code	The code specifying the description of the terms and conditions for these returnable asset instructions.	0	1
BBIE	Returnable Asset_ Instructions. Deposit Value_ Specified. Amount	A deposit value specified in these returnable asset instructions.	0	unbounded
ASBIE	Returnable Asset_ Instructions. Deposit Value_ Validity. Specified_ Period	The specified period during which the deposit value specified in these returnable asset instructions is valid.	0	1
ABIE	Spatial_ Dimension. Details	A measure of spatial extent of an object, such as the length, breadth or height of a shipping container.		
BBIE	Spatial_ Dimension. Value. Measure	The measure of the value of this spatial dimension.	0	1
BBIE	Spatial_ Dimension. Type. Code	The code specifying the type of spatial dimension, such as thickness, area, or volume.	0	1
BBIE	Spatial_ Dimension. Description. Text	A textual description of this spatial dimension.	0	unbounded
BBIE	Spatial_ Dimension. Width. Measure	The measure of the width component of this spatial dimension.	0	1
BBIE	Spatial_ Dimension. Length. Measure	The measure of the length component of this spatial dimension.	0	1
BBIE	Spatial_ Dimension. Height. Measure	The measure of the height component of this spatial dimension.	0	1
BBIE	Spatial_ Dimension. Identification. Identifier	The unique identifier of this spatial dimension.	0	1
BBIE	Spatial_ Dimension. Diameter. Measure	The measure of the diameter component for this spatial dimension.	0	1
ABIE	Specification_ Query. Details	A formally raised question or request for information about this specification.		
BBIE	Specification_ Query. Identification. Identifier	The unique identifier for this specification query.	1	1
BBIE	Specification_ Query. Type. Code	The code specifying the type of specification query.	0	1
BBIE	Specification_ Query. Content. Text	The content, expressed as text, of this specification query.	1	1
BBIE	Specification_ Query. Contractual Language. Code	The code specifying the contractual language for this specification query.	0	1
ABIE	Specification_ Response. Details	A response to a specification query.		
BBIE	Specification_ Response. Identification. Identifier	The unique identifier for this specification response.	1	1
BBIE	Specification_ Response. Query_ Identification. Identifier	The unique identifier for the query to which this response refers.	0	1
BBIE	Specification_ Response. Type. Code	The code specifying the type of this specification response.	0	1
BBIE	Specification_ Response. Content. Text	The content, expressed as text, of this specification response.	1	1
BBIE	Specification_ Response. Contractual Language. Code	The code specifying the contractual language for this specification response.	0	1
ABIE	Specified_ Binary File. Details	A specified computer file or program stored in a binary format.		
BBIE	Specified_ Binary File. Identification. Identifier	A unique identifier for this specified binary file.	0	unbounded
BBIE	Specified_ Binary File. Title. Text	A title, expressed as text, for this specified binary file.	0	unbounded
BBIE	Specified_ Binary File. Author Name. Text	A name of an author, expressed as text, of this specified binary file.	0	unbounded
BBIE	Specified_ Binary File. Version. Identifier	The unique version identifier for this specified binary file.	0	1
BBIE	Specified_ Binary File. File Name. Text	The file name, expressed as text, of this specified binary file.	0	1
BBIE	Specified_ Binary File. URI. Identifier	The unique Uniform Resource Identifier (URI) for this specified binary file.	0	1
BBIE	Specified_ Binary File. MIME. Code	The code specifying the Multipurpose Internet Mail Extensions (MIME) type for this specified binary file.	0	1
BBIE	Specified_ Binary File. Encoding. Code	The code specifying the encoding of this specified binary file.	0	1
BBIE	Specified_ Binary File. Character Set. Code	The code specifying the character set for this specified binary file.	0	1
BBIE	Specified_ Binary File. Included. Binary Object	A binary object included in this specified binary file.	0	unbounded
BBIE	Specified_ Binary File. Access. Text	Access information, expressed as text, for this specified binary file, such as security and download parameters.	0	unbounded
BBIE	Specified_ Binary File. Description. Text	A textual description of this specified binary file.	0	unbounded
BBIE	Specified_ Binary File. Size. Measure	The measure of the size of this specified binary file.	0	1
ASBIE	Specified_ Binary File. Access Availability. Specified_ Period	The specified period when access to this binary file is available.	0	1
ABIE	Specified_ Marketplace. Details	An actual or virtual place where buyers and sellers interact, directly or through intermediaries, to trade goods or services.		
BBIE	Specified_ Marketplace. Identification. Identifier	The identifier for this specified marketplace.	0	1
BBIE	Specified_ Marketplace. Name. Text	The name, expressed as text, for this specified marketplace.	0	1
BBIE	Specified_ Marketplace. Virtual. Indicator	The indication of whether or not this specified marketplace is virtual, such as a web- based marketplace.	0	1
BBIE	Specified_ Marketplace. Website_ URI. Identifier	A website Uniform Resource Identifier (URI) for this specified marketplace.	0	unbounded
BBIE	Specified_ Marketplace. Sales Method. Code	The code specifying a sales method, such as an auction clock or mediation, for this specified marketplace.	0	1
ASBIE	Specified_ Marketplace. Ordering. Available_ Period	An available ordering period for this specified marketplace.	0	unbounded
ABIE	Specified_ Period. Details	A specified period of time.		
BBIE	Specified_ Period. Duration. Measure	A measure of the length of time for this specified time period such as hours, days, weeks, months, years.	0	unbounded
BBIE	Specified_ Period. Inclusive. Indicator	The indication of whether or not the start and end dates are included in this specified period.	0	1
BBIE	Specified_ Period. Description. Text	A textual description of this specified period of time.	0	unbounded
BBIE	Specified_ Period. Start. Date Time	The date, time, date time or other date time value for the start of this specified period of time.	0	1
BBIE	Specified_ Period. End. Date Time	The date, time, date time or other date time value for the end of this specified period of time.	0	1
BBIE	Specified_ Period. Complete. Date Time	The date, time, date time or other date time value for a complete specified period of time expressed as a specific month, a specific week, etc.	0	1
BBIE	Specified_ Period. Open. Indicator	The indication of whether or not an entity is open during this specified period.	0	1
BBIE	Specified_ Period. Season. Code	The code specifying the season for this specified period.	0	1
BBIE	Specified_ Period. Identification. Identifier	The unique identifier of this specified period.	0	1
BBIE	Specified_ Period. Name. Text	A name, expressed as text, of this specified period.	0	unbounded
BBIE	Specified_ Period. Sequence. Numeric	A sequence number for this specified period.	0	1
BBIE	Specified_ Period. Start Date Flexibility. Code	The code specifying the flexibility of the start date of this specified period.	0	1
BBIE	Specified_ Period. Continuous. Indicator	The indication of whether or not this specified period is continuous.	0	1
BBIE	Specified_ Period. Purpose. Code	The code specifying the purpose of this specified period.	0	1
ABIE	Subordinate Line_ Trade Agreement. Details	The contractual terms of a subordinate line trade agreement.		
ASBIE	Subordinate Line_ Trade Agreement. Seller_ Order. Referenced_ Document	The seller generated order document referenced in this subordinate line trade agreement.	0	1
ASBIE	Subordinate Line_ Trade Agreement. Buyer_ Order. Referenced_ Document	A buyer generated order document referenced in this subordinate line trade agreement.	0	1
ASBIE	Subordinate Line_ Trade Agreement. Additional. Referenced_ Document	An additional document referenced in this subordinate line trade agreement.	0	unbounded
ASBIE	Subordinate Line_ Trade Agreement. Gross Price_ Product. Trade_ Price	A gross product price in this subordinate line trade agreement.	0	unbounded
ASBIE	Subordinate Line_ Trade Agreement. Net Price_ Product. Trade_ Price	A net product price in this subordinate line trade agreement.	0	unbounded
ABIE	Subordinate Line_ Trade Delivery. Details	Supply chain shipping arrangements and movement of products and or services including despatch and delivery.		
BBIE	Subordinate Line_ Trade Delivery. Package. Quantity	The number of packages in this subordinate line trade delivery.	0	1
BBIE	Subordinate Line_ Trade Delivery. Product_ Unit. Quantity	The number of product units in this subordinate line trade delivery.	0	1
BBIE	Subordinate Line_ Trade Delivery. Per Package_ Unit. Quantity	The number of units per package in this subordinate line trade delivery.	0	1
ASBIE	Subordinate Line_ Trade Delivery. Included. Supply Chain_ Packaging	Packaging included in this subordinate line trade delivery.	0	unbounded
ABIE	Subordinate Line_ Trade Settlement. Details	The information, at a subordinate line level, that enables the reconciliation of a financial transaction with the item(s) that the financial transaction is intended to settle, for example a commercial invoice.		
ASBIE	Subordinate Line_ Trade Settlement. Applicable. Trade_ Tax	A tax applicable to this subordinate line trade settlement.	0	1
ABIE	Subordinate_ Trade Line Item. Details	A collection of information specific to a subordinate item being used or reported on for trade purposes.		
BBIE	Subordinate_ Trade Line Item. Identification. Identifier	An identifier for this subordinate trade line item.	0	unbounded
ASBIE	Subordinate_ Trade Line Item. Specified. Referenced_ Product	The referenced product specified for this subordinate trade line item.	0	1
ASBIE	Subordinate_ Trade Line Item. Applicable. Trade_ Product	A product applicable for this subordinate trade line item.	0	unbounded
ASBIE	Subordinate_ Trade Line Item. Specified. Subordinate Line_ Trade Agreement	The trade agreement specified for this subordinate trade line item.	0	1
ASBIE	Subordinate_ Trade Line Item. Specified. Subordinate Line_ Trade Delivery	The delivery specified for this subordinate trade line item.	0	1
ASBIE	Subordinate_ Trade Line Item. Specified. Subordinate Line_ Trade Settlement	A trade settlement specified for this subordinate trade line item.	0	1
ABIE	Supply Chain_ Consignment Item. Details	An item within a supply chain consignment of goods separately identified for transport and customs purposes.		
BBIE	Supply Chain_ Consignment Item. Type. Code	The code specifying the type of supply chain consignment item.	0	1
BBIE	Supply Chain_ Consignment Item. Type Extension. Code	The code used as an extension to the type code for further specifying the type of supply chain consignment item.	0	1
BBIE	Supply Chain_ Consignment Item. Declared Value For Customs. Amount	The monetary value of this supply chain consignment item as declared for customs purposes.	0	1
BBIE	Supply Chain_ Consignment Item. Declared Value For Statistics. Amount	The monetary value of this supply chain consignment item as declared for statistical purposes.	0	1
BBIE	Supply Chain_ Consignment Item. Invoice. Amount	A monetary value for an invoice for this supply chain consignment item.	0	unbounded
BBIE	Supply Chain_ Consignment Item. Gross Weight. Measure	A measure of the gross weight (mass) of this supply chain consignment item which includes packaging but excludes any transport equipment.	0	1
BBIE	Supply Chain_ Consignment Item. Net Weight. Measure	A measure of the net weight (mass) of this supply chain consignment item which excludes all packaging.	0	1
BBIE	Supply Chain_ Consignment Item. Tariff. Quantity	The tariff quantity in this supply chain consignment item.	0	1
ASBIE	Supply Chain_ Consignment Item. Nature Identification. Transport_ Cargo	Transport cargo details of this supply chain consignment item sufficient to identify its nature for customs, statistical or transport purposes.	0	1
ABIE	Supply Chain_ Consignment. Details	A separately identifiable collection of goods items to be transported or available to be transported from one consignor to one consignee in a supply chain via one or more modes of transport where each consignment is the subject of one single transport contract.		
BBIE	Supply Chain_ Consignment. Gross Weight. Measure	A measure of the gross weight (mass) of this supply chain consignment which includes the weight of packaging but which excludes the weight of any transport equipment.	0	unbounded
BBIE	Supply Chain_ Consignment. Net Weight. Measure	A measure of the net weight (mass) of this consignment which excludes the weight of packaging of this supply chain consignment and that of any transport equipment.	0	unbounded
BBIE	Supply Chain_ Consignment. Gross Volume. Measure	A measure of the gross volume, normally calculated by multiplying the maximum length, width and height of this supply chain consignment.	0	unbounded
BBIE	Supply Chain_ Consignment. Insurance Premium. Amount	The monetary value of the insurance premium for this supply chain consignment.	0	1
BBIE	Supply Chain_ Consignment. Associated Invoice. Amount	A monetary value of an invoice associated with this supply chain consignment.	0	unbounded
BBIE	Supply Chain_ Consignment. Total Charge. Amount	The total monetary value of all freight and other service charges for this supply chain consignment.	0	1
BBIE	Supply Chain_ Consignment. Declared Value For Customs. Amount	The monetary value declared for customs purposes for this supply chain consignment.	0	1
BBIE	Supply Chain_ Consignment. Package. Quantity	The number of packages within this supply chain consignment.	0	1
ASBIE	Supply Chain_ Consignment. Consignor. Trade_ Party	The consignor party for this supply chain consignment.	0	1
ASBIE	Supply Chain_ Consignment. Consignee. Trade_ Party	The consignee party for this supply chain consignment.	0	1
ASBIE	Supply Chain_ Consignment. Carrier. Trade_ Party	The carrier party for this supply chain consignment.	0	1
ASBIE	Supply Chain_ Consignment. Freight Forwarder. Trade_ Party	The freight forwarder party for this supply chain consignment.	0	1
ASBIE	Supply Chain_ Consignment. Delivery. Trade_ Party	The party to whom this supply chain consignment will be, or has been, delivered.	0	1
ASBIE	Supply Chain_ Consignment. Customs Import Agent. Trade_ Party	The party acting as an agent for, or on behalf of, the consignee with respect to the customs import procedures for this supply chain consignment.	0	1
ASBIE	Supply Chain_ Consignment. Customs Export Agent. Trade_ Party	The party acting as an agent for, or on behalf of, the consignor with respect to the customs export procedures for this supply chain consignment.	0	1
ASBIE	Supply Chain_ Consignment. Grouping Centre. Trade_ Party	A grouping centre party for this supply chain consignment.	0	unbounded
ASBIE	Supply Chain_ Consignment. Transport Contract. Referenced_ Document	The referenced transport contract document for this supply chain consignment, such as an airwaybill or a seawaybill.	0	1
ASBIE	Supply Chain_ Consignment. Associated. Referenced_ Document	A referenced document associated with this supply chain consignment, such as the certificate of origin or dangerous goods note.	0	unbounded
ASBIE	Supply Chain_ Consignment. Included. Supply Chain_ Consignment Item	A consignment item included in this supply chain consignment.	0	unbounded
ASBIE	Supply Chain_ Consignment. Utilized. Logistics_ Transport Equipment	Logistics transport equipment utilized for this supply chain consignment.	0	unbounded
ASBIE	Supply Chain_ Consignment. Specified. Logistics_ Transport Movement	A logistics transport movement specified for this supply chain consignment.	0	unbounded
ABIE	Supply Chain_ Event. Details	A significant occurrence or happening in a supply chain.		
BBIE	Supply Chain_ Event. Identification. Identifier	The unique identifier for this supply chain event.	0	1
BBIE	Supply Chain_ Event. Occurrence. Date Time	A date, time, date time, or other date time value of an occurrence of this supply chain event.	0	1
BBIE	Supply Chain_ Event. Type. Code	A code specifying the type of supply chain event.	0	1
BBIE	Supply Chain_ Event. Description. Text	A textual description of this supply chain event.	0	unbounded
BBIE	Supply Chain_ Event. Description. Binary Object	Binary object data, such as a photograph, describing this supply chain event.	0	unbounded
BBIE	Supply Chain_ Event. Unit. Quantity	A number of units for this supply chain event.	0	1
BBIE	Supply Chain_ Event. Latest_ Occurrence. Date Time	The date, time, date time, or other date time value of the latest occurrence of this supply chain event.	0	1
BBIE	Supply Chain_ Event. Earliest_ Occurrence. Date Time	The date, time, date time, or other date time value of the earliest occurrence of this supply chain event.	0	1
ASBIE	Supply Chain_ Event. Occurrence. Specified_ Period	A specified period of time during which this supply chain event occurs.	0	1
ASBIE	Supply Chain_ Event. Occurrence. Logistics_ Location	A logistics location where this supply chain event occurs.	0	1
ABIE	Supply Chain_ Packaging. Details	Any material with which supply chain goods are packaged, such as a box or bubble wrap.		
BBIE	Supply Chain_ Packaging. Type. Code	The code specifying the type of supply chain packaging.	0	1
BBIE	Supply Chain_ Packaging. Type. Text	The type, expressed as text, of supply chain packaging.	0	1
BBIE	Supply Chain_ Packaging. Description. Text	A textual description of this supply chain packaging.	0	unbounded
BBIE	Supply Chain_ Packaging. Condition. Code	A code specifying the condition of this supply chain packaging.	0	1
BBIE	Supply Chain_ Packaging. Disposal Method. Code	A code specifying the disposal method of this supply chain packaging.	0	unbounded
BBIE	Supply Chain_ Packaging. Weight. Measure	A measure of the weight of this supply chain packaging.	0	unbounded
BBIE	Supply Chain_ Packaging. Maximum Stackability. Quantity	The number of units of this type of supply chain packaging which can be stacked on top of each other.	0	1
BBIE	Supply Chain_ Packaging. Maximum Stackability_ Weight. Measure	The measure of the maximum stackability weight of this supply chain packaging.	0	1
BBIE	Supply Chain_ Packaging. Customer Facing_ Total Unit. Quantity	The total number of units of this supply chain packaging facing the customer, such as would be seen when this packaging is placed on a retail shelf.	0	1
BBIE	Supply Chain_ Packaging. Layer_ Total Unit. Quantity	The total number of units in a layer of this supply chain packaging.	0	1
BBIE	Supply Chain_ Packaging. Content Layer. Quantity	The number of content layers that are or may be packaged with this supply chain packaging, such as the number of layers of product on a pallet.	0	1
ASBIE	Supply Chain_ Packaging. Linear. Spatial_ Dimension	The linear spatial dimensions of this supply chain packaging.	0	1
ASBIE	Supply Chain_ Packaging. Minimum_ Linear. Spatial_ Dimension	The minimum linear spatial dimensions of this supply chain packaging.	0	1
ASBIE	Supply Chain_ Packaging. Maximum_ Linear. Spatial_ Dimension	The maximum linear spatial dimensions of this supply chain packaging.	0	1
ASBIE	Supply Chain_ Packaging. Specified. Packaging_ Marking	A marking specified for this supply chain packaging, such as an inscription, stamp or label to indicate date, ownership, quality, manufacture or origin.	0	unbounded
ASBIE	Supply Chain_ Packaging. Applicable. Material_ Goods Characteristic	Material goods characteristic applicable to this supply chain packaging.	0	unbounded
ASBIE	Supply Chain_ Packaging. Applicable. Disposal_ Instructions	Disposal instructions for this supply chain packaging.	0	unbounded
ASBIE	Supply Chain_ Packaging. Applicable. Returnable Asset_ Instructions	Returnable asset instructions for this supply chain packaging.	0	unbounded
ABIE	Supply Chain_ Trade Line Item. Details	A collection of information specific to an item being used or reported on for supply chain trade purposes.		
BBIE	Supply Chain_ Trade Line Item. Description. Code	The code specifying a description of this supply chain trade line item.	0	1
ASBIE	Supply Chain_ Trade Line Item. Associated. Document Line_ Document	The document line associated with this trade line item.	1	1
ASBIE	Supply Chain_ Trade Line Item. Specified. Trade_ Product	The product specified for this supply chain trade line item.	0	1
ASBIE	Supply Chain_ Trade Line Item. Specified. Line_ Trade Agreement	The line trade agreement specified for this supply chain trade line item.	0	1
ASBIE	Supply Chain_ Trade Line Item. Specified. Line_ Trade Delivery	The line trade delivery specified for this supply chain trade line item.	0	1
ASBIE	Supply Chain_ Trade Line Item. Specified. Line_ Trade Settlement	A line trade settlement specified for this supply chain trade line item.	1	1
ASBIE	Supply Chain_ Trade Line Item. Included. Subordinate_ Trade Line Item	A subordinate trade line item included in this supply chain trade line item.	0	unbounded
ABIE	Supply Chain_ Trade Transaction. Details	A group of supply chain trade line items, trade agreement, trade delivery and trade settlement details.		
ASBIE	Supply Chain_ Trade Transaction. Included. Supply Chain_ Trade Line Item	A trade line item included in this supply chain trade transaction.	0	unbounded
ASBIE	Supply Chain_ Trade Transaction. Applicable. Header_ Trade Agreement	A trade agreement header applicable to this supply chain trade transaction, such as payment or delivery terms.	1	1
ASBIE	Supply Chain_ Trade Transaction. Applicable. Header_ Trade Delivery	A trade delivery header applicable to this supply chain trade transaction.	1	1
ASBIE	Supply Chain_ Trade Transaction. Applicable. Header_ Trade Settlement	The trade settlement header applicable to this supply chain trade transaction.	1	1
ABIE	Tax_ Registration. Details	Registration with a specific tax authority.		
BBIE	Tax_ Registration. Identification. Identifier	The unique identifier for this tax registration.	0	1
ASBIE	Tax_ Registration. Associated. Registered_ Tax	The registered tax associated with this tax registration.	0	1
ABIE	Trade Settlement Header_ Monetary Summation. Details	A collection of monetary amount totals, specified at header level, for a trade settlement.		
BBIE	Trade Settlement Header_ Monetary Summation. Line Total. Amount	A monetary value of the line amount total being reported in this trade settlement header monetary summation.	0	unbounded
BBIE	Trade Settlement Header_ Monetary Summation. Charge Total. Amount	A monetary value of the total of all charge amounts being reported in this trade settlement header monetary summation.	0	unbounded
BBIE	Trade Settlement Header_ Monetary Summation. Allowance Total. Amount	A monetary value of the total of all allowance amounts being reported in this trade settlement header monetary summation.	0	unbounded
BBIE	Trade Settlement Header_ Monetary Summation. Tax Basis Total. Amount	A monetary value of the total of all tax basis amounts being reported in this trade settlement monetary summation.	0	unbounded
BBIE	Trade Settlement Header_ Monetary Summation. Tax Total. Amount	A monetary value of the total of all tax amounts being reported in this trade settlement header monetary summation.	0	unbounded
BBIE	Trade Settlement Header_ Monetary Summation. Rounding. Amount	A monetary value of a rounding amount being applied in this trade settlement header monetary summation.	0	unbounded
BBIE	Trade Settlement Header_ Monetary Summation. Grand Total. Amount	A monetary value of the grand total of this trade settlement header monetary summation, to include addition and subtraction of individual summation amounts.	0	unbounded
BBIE	Trade Settlement Header_ Monetary Summation. Information. Amount	A monetary value of an amount being reported for information in this trade settlement header monetary summation.	0	unbounded
BBIE	Trade Settlement Header_ Monetary Summation. Total Prepaid. Amount	A monetary value of a prepaid total reported in this trade settlement header monetary summation.	0	unbounded
BBIE	Trade Settlement Header_ Monetary Summation. Total Discount. Amount	A monetary value of a total discount reported in this trade settlement header monetary summation.	0	unbounded
BBIE	Trade Settlement Header_ Monetary Summation. Total Allowance Charge. Amount	A monetary value of a total allowance and charge reported in this trade settlement header monetary summation.	0	unbounded
BBIE	Trade Settlement Header_ Monetary Summation. Due Payable. Amount	A monetary value that is an amount due and payable for this trade settlement header monetary summation, such as the amount due to the creditor.	0	unbounded
BBIE	Trade Settlement Header_ Monetary Summation. Retail Value Excluding Tax_ Information. Amount	A monetary value which constitutes the retail value, excluding all duties and taxes, stated for information purposes in this trade settlement header monetary summation.	0	unbounded
BBIE	Trade Settlement Header_ Monetary Summation. Total Deposit Fee_ Information. Amount	A monetary value of the total deposit fee stated for information purposes in this trade settlement header monetary summation.		0	unbounded			
BBIE	Trade Settlement Header_ Monetary Summation. Product Value Excluding Tobacco Tax_ Information. Amount	A monetary value which constitutes the total product value excluding tobacco tax stated for information purposes in this trade settlement header monetary summation.	0	unbounded
BBIE	Trade Settlement Header_ Monetary Summation. Total Retail Value_ Information. Amount	A monetary value which constitutes the total retail value stated for information purposes in this trade settlement header monetary summation.	0	unbounded
BBIE	Trade Settlement Header_ Monetary Summation. Gross_ Line Total. Amount	A monetary value of the total of all line amounts, excluding line level allowances and charges and taxes, being reported in this trade settlement header monetary summation.	0	unbounded
BBIE	Trade Settlement Header_ Monetary Summation. Net_ Line Total. Amount	A monetary value of the total of all line amounts, including line level allowances and charges and excluding line level taxes, being reported in this trade settlement header monetary summation.	0	unbounded
BBIE	Trade Settlement Header_ Monetary Summation. Net Including Taxes_ Line Total. Amount	A monetary value of the total of all line amounts, including line level allowances and charges and including line level taxes, being reported in this trade settlement header monetary summation.	0	unbounded
ABIE	Trade Settlement Line_ Monetary Summation. Details	A collection of monetary amount totals, specified at line level, for a trade settlement.		
BBIE	Trade Settlement Line_ Monetary Summation. Line Total. Amount	A monetary value of the line amount total being reported in this trade settlement line monetary summation.	0	unbounded
BBIE	Trade Settlement Line_ Monetary Summation. Charge Total. Amount	A monetary value of the total of all charge amounts being reported in this trade settlement line monetary summation.	0	unbounded
BBIE	Trade Settlement Line_ Monetary Summation. Allowance Total. Amount	A monetary value of the total of all allowance amounts being reported in this trade settlement line monetary summation.	0	unbounded
BBIE	Trade Settlement Line_ Monetary Summation. Tax Basis Total. Amount	A monetary value of the total of all tax basis amounts being reported in this trade settlement line monetary summation.	0	unbounded
BBIE	Trade Settlement Line_ Monetary Summation. Tax Total. Amount	A monetary value of the total of all tax amounts being reported in this trade settlement line monetary summation.	0	unbounded
BBIE	Trade Settlement Line_ Monetary Summation. Grand Total. Amount	A monetary value of the grand total of this trade settlement line monetary summation, to include addition and subtraction of individual summation amounts.	0	1
BBIE	Trade Settlement Line_ Monetary Summation. Information. Amount	A monetary value of an amount being reported for information in this trade settlement monetary summation.	0	unbounded
BBIE	Trade Settlement Line_ Monetary Summation. Total Allowance Charge. Amount	A monetary value of a total allowance and charge reported in this trade settlement line monetary summation.	0	unbounded
BBIE	Trade Settlement Line_ Monetary Summation. Total Retail Value_ Information. Amount	A monetary value which constitutes the total retail value stated for information purposes in this trade settlement line monetary summation.	0	unbounded
BBIE	Trade Settlement Line_ Monetary Summation. Gross_ Line Total. Amount	A monetary value of the total of all line amounts, excluding line level allowances and charges and taxes, being reported in this trade settlement line monetary summation.	0	unbounded
BBIE	Trade Settlement Line_ Monetary Summation. Net_ Line Total. Amount	A monetary value of the total of all line amounts, including line level allowances and charges and excluding line level taxes, being reported in this trade settlement line monetary summation.	0	unbounded
BBIE	Trade Settlement Line_ Monetary Summation. Net Including Taxes_ Line Total. Amount	A monetary value of the total of all line amounts, including line level allowances and charges and including line level taxes, being reported in this trade settlement line monetary summation.	0	unbounded
BBIE	Trade Settlement Line_ Monetary Summation. Product Weight Loss_ Information. Amount	A monetary value of the loss of weight of a product, such as fresh goods, stated for information purposes in this trade settlement line monetary summation.	0	unbounded
ABIE	Trade Settlement_ Financial Card. Details	A card used to represent a financial account for a trade settlement.		
BBIE	Trade Settlement_ Financial Card. Microchip. Indicator	The indication of whether or not this trade settlement financial card has a microchip.	0	1
BBIE	Trade Settlement_ Financial Card. Identification. Identifier	The unique identifier, commonly known as the card number, of this trade settlement financial card.	0	1
BBIE	Trade Settlement_ Financial Card. Type. Code	The code specifying the type of this trade settlement financial card, such as debit or credit.	0	1
BBIE	Trade Settlement_ Financial Card. Cardholder Name. Text	The cardholder name as it appears on this trade settlement financial card. This may include both an individual authorized to use the card as well as the organization that owns the card.	0	1
BBIE	Trade Settlement_ Financial Card. Expiry. Date	The date of expiry up to which this trade settlement financial card is valid.	0	1
BBIE	Trade Settlement_ Financial Card. Verification. Numeric	The unique card verification number for security purposes to help verify the card user is in actual possession of this trade settlement financial card.	0	1
